poem_idx,generated_prompt,reference_prompt,bleu,rougeL
10,"Cảnh: Bông hoa màu vàng rực rỡ trong vườn mùa xuân.
Cảm xúc và không khí: Hạnh phúc, tươi vui
Màu sắc chủ đạo: Vàng, xanh lá cây
Phong cách nghệ thuật: Tự nhiên","Cây nêu trong mùa xuân với mọi người vui vẻ, cỏ hoa nở rộ.",0.008186841244220632,0.3684210526315789
11,"Hoa kề cổ trủng đeo tình nặng dưới ánh vàng rụng. Nắng rơi nhẹ, mưa lướt qua. Sắc màu nâu xám, tím phai. Phong cách nghệ thuật: Lyrical","Khung cảnh mùa thu với gió hiu hắt, hoa lá rụng, thể hiện nỗi buồn.",0.006716472052354862,0.23529411764705882
12,"Một hình ảnh mơ hồ với lá rơi từ bầu trời, sắc vàng, màu nhạt, nghệ thuật cổ điển.","Một khung cảnh mùa xuân với gió nhẹ, hoa nở, và âm thanh nhạc cầm, phản ánh tâm trạng buồn bã và nỗi nhớ",0.009307235968914158,0.3283582089552239
13,"Cảnh: Bãi biển hoang tàn, mây đen lóe lên.
Cảm xúc và không khí: Mịt ướt, buồn phiền, cô đơn.
Màu sắc chủ đạo: Xanh láng, màu nâu đất.
Phong cách nghệ thuật: Huyền bí.","Một hành trình tĩnh lặng qua không gian mờ ảo, với âm thanh chuông thiền vang vọng.",0.005311256555131655,0.21686746987951808
14,"Thịều thiềm cung trong đêm trăng hạnh chênh vằng, người standing yên trong sầu buồn."" 
""Melancholic với hơi nhạt về mong muốn.""
""Màu trắng, đen, và màu pastel nhẹ.""
""Huyền bí, lãng mạn.","Một khung cảnh thần tiên với trăng sáng, gió nhẹ và những tâm tư buồn bã.",0.007434360163166208,0.32911392405063294
15,"Cốc trống dưới cây sen, ánh nắng lấp lánh nhẹ nhàng. Thư thái bình yên, sự im ắng. Màu trắng, xanh lá cây, màu sắc tự nhiên. Phong cách cổ điển.","Hình ảnh một người thiền định giữa thiên nhiên tĩnh lặng, ánh sáng dịu dàng chiếu xuống.",0.006032401726201458,0.2962962962962963
16,"Towered bell stands under dark sky
Mạnh mẽ trầm cảm, hụt hẫng
Đen xám, nâu sẫm","Một nhóm bạn trẻ đứng xem chuông, trò chuyện vui vẻ.",0.0,0.3
17,"Hoa nở trong vườn hoa, ánh nắng vàng. Âm thanh vui tươi, hạnh phúc không giới hạn. Màu sắc chủ đạo: Vàng, xanh lá cây, hồng. Phong cách nghệ thuật: Hài hoại.","Một cảnh tượng lãng mạn giữa hai người yêu nhau, tay nắm chặt.",0.0,0.273972602739726
18,"Boat nhẹ lướt trên sông yên tĩnh, gió nhẹ làm sóng bay. Màu sắc ngả sang xanh nhạt, trời tĩnh lặng, nghệ thuật watercolor.","Một chiếc bách trôi nổi giữa dòng nước đầy sóng gió, biểu hiện nỗi buồn và sự lạc lõng.",0.007913247271422612,0.33333333333333337
19,"Trải mấy thu nay vẫn hãy còn, dưới cỏ xanh ngả màu lá vàng, nước não trơ. Không khí mờ nhạt, buồn bã. Màu sắc chủ đạo: vàng, xanh. Phong cách nghệ thuật: Realist.","Hình ảnh bạch thố và ánh trăng trong đêm tối, thể hiện sự buồn bã và chờ đợi.",0.005474870710453651,0.2894736842105263
